adapted_case,adapted_client,corruption,chunk_id,chunk_start,chunk_end,chunk_size,composition_name,performing_clients,performing_size,raw_wdm,raw_ucs,raw_bnuas,raw_bndas,raw_pdam,wasserstein_distance,aligned_wdm,aligned_ucs,aligned_bnuas,aligned_bndas,aligned_pdam,scaled_wdm,scaled_ucs,scaled_bnuas,scaled_bndas,scaled_pdam,ttaas,composition_accuracy_on_chunk,aggregated_accuracy_on_chunk,ground_truth_composable,predicted_at_0_35,correct_at_0_35,predicted_at_0_4,correct_at_0_4,predicted_at_0_5,correct_at_0_5,predicted_at_0_6,correct_at_0_6
client_0_brightness,client_0,brightness,2,1000,1500,500,C1_C2,"client_0,client_1",2,0.01017946,-0.304332927,3.870530546,0.197783813,0,3.531825304,0.98982054,-0.304332927,3.870530546,0.197783813,0,0.845857135,0.616712353,0.833743486,0.230158717,1,0.705294338,0.294,0.192000002,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
client_0_brightness,client_0,brightness,2,1000,1500,500,C1_C2_C3,"client_0,client_1,client_2",3,0.020040274,0.115399197,3.874582171,0.185168311,0,3.803688049,0.979959726,0.115399197,3.874582171,0.185168311,0,0.685683442,0.832393079,0.845612416,0.207925234,1,0.714322834,0.252000004,0.25,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
client_0_brightness,client_0,brightness,2,1000,1500,500,C1_C2_C3_C4,"client_0,client_1,client_2,client_3",4,0.021433711,0.17808193,3.873616278,0.185324088,0,3.860404253,0.978566289,0.17808193,3.873616278,0.185324088,0,0.663049203,0.864602807,0.842782905,0.208199774,1,0.715726938,0.228,0.270000011,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
client_0_brightness,client_0,brightness,2,1000,1500,500,C1_C2_C3_C4_C5,"client_0,client_1,client_2,client_3,client_4",5,0.022359133,0.179532975,3.873151898,0.187980279,0,3.77228713,0.977640867,0.179532975,3.873151898,0.187980279,0,0.648017156,0.865348431,0.841422539,0.21288103,1,0.713533831,0.25,0.270000011,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
client_0_brightness,client_0,brightness,2,1000,1500,500,C1_C2_C3_C5,"client_0,client_1,client_2,client_4",4,0.021480143,0.135368824,3.873746574,0.188616604,0,3.698087215,0.978519857,0.135368824,3.873746574,0.188616604,0,0.662294987,0.842654538,0.843164596,0.214002484,1,0.712423321,0.273999989,0.252000004,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
client_0_brightness,client_0,brightness,2,1000,1500,500,C1_C2_C4,"client_0,client_1,client_3",3,0.016578496,-0.046009675,3.870535493,0.193056673,0,3.780922174,0.983421504,-0.046009675,3.870535493,0.193056673,0,0.741914684,0.749452602,0.833757978,0.221827634,1,0.70939058,0.233999997,0.256000012,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
client_0_brightness,client_0,brightness,2,1000,1500,500,C1_C2_C4_C5,"client_0,client_1,client_3,client_4",4,0.019678414,0.024604604,3.870788276,0.192366302,0,3.676894188,0.980321586,0.024604604,3.870788276,0.192366302,0,0.691561296,0.78573798,0.834498488,0.220610929,1,0.706481739,0.261999995,0.268000007,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
client_0_brightness,client_0,brightness,2,1000,1500,500,C1_C2_C5,"client_0,client_1,client_4",3,0.017136037,-0.100385465,3.870847464,0.194116786,0,3.464420319,0.982863963,-0.100385465,3.870847464,0.194116786,0,0.732858277,0.721511424,0.834671873,0.223695971,1,0.702547509,0.331999987,0.219999999,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
client_0_brightness,client_0,brightness,2,1000,1500,500,C1_C3,"client_0,client_2",2,0.019722521,0.207538053,3.876080275,0.191217944,0,3.940244198,0.980277479,0.207538053,3.876080275,0.191217944,0,0.690844839,0.879738932,0.850000995,0.21858707,1,0.727834367,0.217999995,0.222000003,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
client_0_brightness,client_0,brightness,2,1000,1500,500,C1_C3_C4,"client_0,client_2,client_3",3,0.02109617,0.249891907,3.874468029,0.189791575,0,3.955278873,0.97890383,0.249891907,3.874468029,0.189791575,0,0.668532037,0.901502599,0.845278043,0.216073246,1,0.726277185,0.211999997,0.25999999,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
client_0_brightness,client_0,brightness,2,1000,1500,500,C1_C3_C4_C5,"client_0,client_2,client_3,client_4",4,0.02204603,0.23443836,3.873713374,0.191240847,0,3.832513332,0.97795397,0.23443836,3.873713374,0.191240847,0,0.653103034,0.893561743,0.84306734,0.218627434,1,0.72167191,0.233999997,0.256000012,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
client_0_brightness,client_0,brightness,2,1000,1500,500,C1_C3_C5,"client_0,client_2,client_4",3,0.021080852,0.202064946,3.874586165,0.192710608,0,3.769209146,0.978919148,0.202064946,3.874586165,0.192710608,0,0.668780861,0.876926558,0.845624115,0.221217732,1,0.722509853,0.252000004,0.238000005,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
client_0_brightness,client_0,brightness,2,1000,1500,500,C1_C4,"client_0,client_3",2,0.013793051,0.032531954,3.8709203,0.204024881,0,3.941370726,0.986206949,0.032531954,3.8709203,0.204024881,0,0.787159925,0.789811475,0.834885243,0.241157937,1,0.730602916,0.202000007,0.236000001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
client_0_brightness,client_0,brightness,2,1000,1500,500,C1_C4_C5,"client_0,client_3,client_4",3,0.018420041,0.086368024,3.871069431,0.196236819,0,3.7574687,0.981579959,0.086368024,3.871069431,0.196236819,0,0.712001627,0.817475316,0.83532211,0.227432304,1,0.718446271,0.239999995,0.241999999,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
client_0_brightness,client_0,brightness,2,1000,1500,500,C1_C5,"client_0,client_4",2,0.014642239,-0.02449362,3.871283054,0.196922541,0,3.507512808,0.985357761,-0.02449362,3.871283054,0.196922541,0,0.773366187,0.760508697,0.835947903,0.228640816,1,0.719692721,0.298000008,0.187999994,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
client_0_brightness,client_0,brightness,2,1000,1500,500,C2,client_1,1,0.050378978,-0.180195763,3.868571818,0.154722676,0,3.42899847,0.949621022,-0.180195763,3.868571818,0.154722676,0,0.192878028,0.680500642,0.828005541,0.154268034,1,0.571130449,0.356000006,0.254000008,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
client_0_brightness,client_0,brightness,2,1000,1500,500,C2_C3,"client_1,client_2",2,0.042589247,0.289111547,3.875487149,0.162837297,0,3.778993845,0.957410753,0.289111547,3.875487149,0.162837297,0,0.319410181,0.921655739,0.848263478,0.168569192,1,0.651579718,0.266000003,0.294,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
client_0_brightness,client_0,brightness,2,1000,1500,500,C2_C3_C4,"client_1,client_2,client_3",3,0.037178874,0.324072435,3.873938739,0.169431046,0,3.833830357,0.962821126,0.324072435,3.873938739,0.169431046,0,0.407293341,0.939620506,0.84372753,0.180189975,1,0.67416627,0.233999997,0.305999994,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
client_0_brightness,client_0,brightness,2,1000,1500,500,C2_C3_C4_C5,"client_1,client_2,client_3,client_4",4,0.034192681,0.286527932,3.873275757,0.176572591,0,3.734625816,0.965807319,0.286527932,3.873275757,0.176572591,0,0.455799431,0.92032814,0.841785373,0.19277619,1,0.682137827,0.25999999,0.312000006,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
client_0_brightness,client_0,brightness,2,1000,1500,500,C2_C3_C5,"client_1,client_2,client_4",3,0.036700726,0.257513255,3.874077737,0.174203083,0,3.653947592,0.963299274,0.257513255,3.874077737,0.174203083,0,0.415060124,0.905418853,0.844134714,0.188600184,1,0.670642775,0.291999996,0.286000013,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
client_0_brightness,client_0,brightness,2,1000,1500,500,C2_C4,"client_1,client_3",2,0.040319026,0.164827053,3.869526446,0.169143707,0,3.716931105,0.959680974,0.164827053,3.869526446,0.169143707,0,0.356286428,0.857791745,0.830802052,0.17968357,1,0.644912759,0.244000003,0.319999993,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
client_0_brightness,client_0,brightness,2,1000,1500,500,C2_C4_C5,"client_1,client_3,client_4",3,0.03584069,0.156927012,3.870207965,0.176938355,0,3.626600981,0.96415931,0.156927012,3.870207965,0.176938355,0,0.429030072,0.853732283,0.832798511,0.19342081,1,0.661796335,0.284000009,0.305999994,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
client_0_brightness,client_0,brightness,2,1000,1500,500,C2_C5,"client_1,client_4",2,0.040069759,0.034208186,3.869992733,0.171958789,0,3.329084635,0.959930241,0.034208186,3.869992733,0.171958789,0,0.360335379,0.790672813,0.832168004,0.184644854,1,0.63356421,0.398000002,0.280000001,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
client_0_brightness,client_0,brightness,2,1000,1500,500,C3,client_2,1,0.057636023,0.44157581,3.878097653,0.156870827,0,3.956570148,0.942363977,0.44157581,3.878097653,0.156870827,0,0.074998548,1,0.855910753,0.158053923,1,0.617792645,0.224000007,0.296000004,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
client_0_brightness,client_0,brightness,2,1000,1500,500,C3_C4,"client_2,client_3",2,0.042584658,0.43048054,3.875103831,0.169063494,0,3.94655776,0.957415342,0.43048054,3.875103831,0.169063494,0,0.319484732,0.994298659,0.847140579,0.179542203,1,0.668093235,0.202000007,0.307999998,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
client_0_brightness,client_0,brightness,2,1000,1500,500,C3_C4_C5,"client_2,client_3,client_4",3,0.036691546,0.359739289,3.873954296,0.177564815,0,3.794547081,0.963308454,0.359739289,3.873954296,0.177564815,0,0.415209225,0.957948035,0.843773103,0.194524879,1,0.682291048,0.241999999,0.312000006,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
client_0_brightness,client_0,brightness,2,1000,1500,500,C3_C5,"client_2,client_4",2,0.041527569,0.352150604,3.875204027,0.17428197,0,3.716517925,0.958472431,0.352150604,3.875204027,0.17428197,0,0.3366555,0.954048565,0.847434094,0.188739213,1,0.665375474,0.273999989,0.286000013,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
client_0_brightness,client_0,brightness,2,1000,1500,500,C4,client_3,1,0.054704547,0.352872586,3.869150698,0.167316929,0,3.912018061,0.945295453,0.352872586,3.869150698,0.167316929,0,0.122615843,0.954419558,0.829701327,0.176464068,1,0.616640159,0.184,0.312000006,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
client_0_brightness,client_0,brightness,2,1000,1500,500,C4_C5,"client_3,client_4",2,0.040371239,0.255658869,3.870281518,0.175335065,0,3.715631962,0.959628761,0.255658869,3.870281518,0.175335065,0,0.355438298,0.904465971,0.833013977,0.190595181,1,0.656702685,0.247999996,0.301999986,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
client_0_brightness,client_0,brightness,2,1000,1500,500,C5,client_4,1,0.052863538,0.184984203,3.869762421,0.154907271,0,3.330620289,0.947136462,0.184984203,3.869762421,0.154907271,0,0.152520187,0.868149563,0.831493322,0.154593364,1,0.601351287,0.388000011,0.254000008,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
client_0_brightness,client_0,brightness,3,1500,2000,500,C1,client_0,1,0.000876248,-0.221337914,3.871441722,0.22273843,0,3.717801094,0.999123752,-0.221337914,3.871441722,0.22273843,0,0.996973452,0.659359612,0.836412707,0.27413858,1,0.75337687,0.231999993,0.153999999,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
client_0_brightness,client_0,brightness,3,1500,2000,500,C1_C2,"client_0,client_1",2,0.01017946,-0.304332927,3.870530546,0.197783813,0,3.562506437,0.98982054,-0.304332927,3.870530546,0.197783813,0,0.845857135,0.616712353,0.833743486,0.230158717,1,0.705294338,0.307999998,0.195999995,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
client_0_brightness,client_0,brightness,3,1500,2000,500,C1_C2_C3,"client_0,client_1,client_2",3,0.020040274,0.115399197,3.874582171,0.185168311,0,3.777323723,0.979959726,0.115399197,3.874582171,0.185168311,0,0.685683442,0.832393079,0.845612416,0.207925234,1,0.714322834,0.266000003,0.239999995,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
client_0_brightness,client_0,brightness,3,1500,2000,500,C1_C2_C3_C4,"client_0,client_1,client_2,client_3",4,0.021433711,0.17808193,3.873616278,0.185324088,0,3.809850216,0.978566289,0.17808193,3.873616278,0.185324088,0,0.663049203,0.864602807,0.842782905,0.208199774,1,0.715726938,0.246000007,0.287999988,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
client_0_brightness,client_0,brightness,3,1500,2000,500,C1_C2_C3_C4_C5,"client_0,client_1,client_2,client_3,client_4",5,0.022359133,0.179532975,3.873151898,0.187980279,0,3.728117704,0.977640867,0.179532975,3.873151898,0.187980279,0,0.648017156,0.865348431,0.841422539,0.21288103,1,0.713533831,0.282000005,0.294,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
client_0_brightness,client_0,brightness,3,1500,2000,500,C1_C2_C3_C5,"client_0,client_1,client_2,client_4",4,0.021480143,0.135368824,3.873746574,0.188616604,0,3.679030895,0.978519857,0.135368824,3.873746574,0.188616604,0,0.662294987,0.842654538,0.843164596,0.214002484,1,0.712423321,0.300000012,0.254000008,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
client_0_brightness,client_0,brightness,3,1500,2000,500,C1_C2_C4,"client_0,client_1,client_3",3,0.016578496,-0.046009675,3.870535493,0.193056673,0,3.746586323,0.983421504,-0.046009675,3.870535493,0.193056673,0,0.741914684,0.749452602,0.833757978,0.221827634,1,0.70939058,0.25999999,0.25999999,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
client_0_brightness,client_0,brightness,3,1500,2000,500,C1_C2_C4_C5,"client_0,client_1,client_3,client_4",4,0.019678414,0.024604604,3.870788276,0.192366302,0,3.651095152,0.980321586,0.024604604,3.870788276,0.192366302,0,0.691561296,0.78573798,0.834498488,0.220610929,1,0.706481739,0.294,0.270000011,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
client_0_brightness,client_0,brightness,3,1500,2000,500,C1_C2_C5,"client_0,client_1,client_4",3,0.017136037,-0.100385465,3.870847464,0.194116786,0,3.484353542,0.982863963,-0.100385465,3.870847464,0.194116786,0,0.732858277,0.721511424,0.834671873,0.223695971,1,0.702547509,0.333999991,0.222000003,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
client_0_brightness,client_0,brightness,3,1500,2000,500,C1_C3,"client_0,client_2",2,0.019722521,0.207538053,3.876080275,0.191217944,0,3.923318624,0.980277479,0.207538053,3.876080275,0.191217944,0,0.690844839,0.879738932,0.850000995,0.21858707,1,0.727834367,0.211999997,0.228,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
client_0_brightness,client_0,brightness,3,1500,2000,500,C1_C3_C4,"client_0,client_2,client_3",3,0.02109617,0.249891907,3.874468029,0.189791575,0,3.905680656,0.97890383,0.249891907,3.874468029,0.189791575,0,0.668532037,0.901502599,0.845278043,0.216073246,1,0.726277185,0.219999999,0.282000005,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
client_0_brightness,client_0,brightness,3,1500,2000,500,C1_C3_C4_C5,"client_0,client_2,client_3,client_4",4,0.02204603,0.23443836,3.873713374,0.191240847,0,3.789750338,0.97795397,0.23443836,3.873713374,0.191240847,0,0.653103034,0.893561743,0.84306734,0.218627434,1,0.72167191,0.247999996,0.282000005,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
client_0_brightness,client_0,brightness,3,1500,2000,500,C1_C3_C5,"client_0,client_2,client_4",3,0.021080852,0.202064946,3.874586165,0.192710608,0,3.75090456,0.978919148,0.202064946,3.874586165,0.192710608,0,0.668780861,0.876926558,0.845624115,0.221217732,1,0.722509853,0.268000007,0.238000005,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
client_0_brightness,client_0,brightness,3,1500,2000,500,C1_C4,"client_0,client_3",2,0.013793051,0.032531954,3.8709203,0.204024881,0,3.9148283,0.986206949,0.032531954,3.8709203,0.204024881,0,0.787159925,0.789811475,0.834885243,0.241157937,1,0.730602916,0.211999997,0.244000003,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
client_0_brightness,client_0,brightness,3,1500,2000,500,C1_C4_C5,"client_0,client_3,client_4",3,0.018420041,0.086368024,3.871069431,0.196236819,0,3.732795954,0.981579959,0.086368024,3.871069431,0.196236819,0,0.712001627,0.817475316,0.83532211,0.227432304,1,0.718446271,0.257999986,0.25,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
client_0_brightness,client_0,brightness,3,1500,2000,500,C1_C5,"client_0,client_4",2,0.014642239,-0.02449362,3.871283054,0.196922541,0,3.536474705,0.985357761,-0.02449362,3.871283054,0.196922541,0,0.773366187,0.760508697,0.835947903,0.228640816,1,0.719692721,0.298000008,0.189999998,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
client_0_brightness,client_0,brightness,3,1500,2000,500,C2,client_1,1,0.050378978,-0.180195763,3.868571818,0.154722676,0,3.423312664,0.949621022,-0.180195763,3.868571818,0.154722676,0,0.192878028,0.680500642,0.828005541,0.154268034,1,0.571130449,0.377999991,0.261999995,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
client_0_brightness,client_0,brightness,3,1500,2000,500,C2_C3,"client_1,client_2",2,0.042589247,0.289111547,3.875487149,0.162837297,0,3.722819567,0.957410753,0.289111547,3.875487149,0.162837297,0,0.319410181,0.921655739,0.848263478,0.168569192,1,0.651579718,0.291999996,0.310000002,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
client_0_brightness,client_0,brightness,3,1500,2000,500,C2_C3_C4,"client_1,client_2,client_3",3,0.037178874,0.324072435,3.873938739,0.169431046,0,3.766714096,0.962821126,0.324072435,3.873938739,0.169431046,0,0.407293341,0.939620506,0.84372753,0.180189975,1,0.67416627,0.266000003,0.331999987,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
client_0_brightness,client_0,brightness,3,1500,2000,500,C2_C3_C4_C5,"client_1,client_2,client_3,client_4",4,0.034192681,0.286527932,3.873275757,0.176572591,0,3.684267998,0.965807319,0.286527932,3.873275757,0.176572591,0,0.455799431,0.92032814,0.841785373,0.19277619,1,0.682137827,0.291999996,0.338,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
client_0_brightness,client_0,brightness,3,1500,2000,500,C2_C3_C5,"client_1,client_2,client_4",3,0.036700726,0.257513255,3.874077737,0.174203083,0,3.621338844,0.963299274,0.257513255,3.874077737,0.174203083,0,0.415060124,0.905418853,0.844134714,0.188600184,1,0.670642775,0.340000004,0.31400001,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
client_0_brightness,client_0,brightness,3,1500,2000,500,C2_C4,"client_1,client_3",2,0.040319026,0.164827053,3.869526446,0.169143707,0,3.672878265,0.959680974,0.164827053,3.869526446,0.169143707,0,0.356286428,0.857791745,0.830802052,0.17968357,1,0.644912759,0.282000005,0.333999991,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
client_0_brightness,client_0,brightness,3,1500,2000,500,C2_C4_C5,"client_1,client_3,client_4",3,0.03584069,0.156927012,3.870207965,0.176938355,0,3.592562437,0.96415931,0.156927012,3.870207965,0.176938355,0,0.429030072,0.853732283,0.832798511,0.19342081,1,0.661796335,0.328000009,0.328000009,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
client_0_brightness,client_0,brightness,3,1500,2000,500,C2_C5,"client_1,client_4",2,0.040069759,0.034208186,3.869992733,0.171958789,0,3.339349031,0.959930241,0.034208186,3.869992733,0.171958789,0,0.360335379,0.790672813,0.832168004,0.184644854,1,0.63356421,0.40200001,0.284000009,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
client_0_brightness,client_0,brightness,3,1500,2000,500,C3,client_2,1,0.057636023,0.44157581,3.878097653,0.156870827,0,3.895296574,0.942363977,0.44157581,3.878097653,0.156870827,0,0.074998548,1,0.855910753,0.158053923,1,0.617792645,0.228,0.307999998,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
client_0_brightness,client_0,brightness,3,1500,2000,500,C3_C4,"client_2,client_3",2,0.042584658,0.43048054,3.875103831,0.169063494,0,3.875968933,0.957415342,0.43048054,3.875103831,0.169063494,0,0.319484732,0.994298659,0.847140579,0.179542203,1,0.668093235,0.216000006,0.330000013,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
client_0_brightness,client_0,brightness,3,1500,2000,500,C3_C4_C5,"client_2,client_3,client_4",3,0.036691546,0.359739289,3.873954296,0.177564815,0,3.738022566,0.963308454,0.359739289,3.873954296,0.177564815,0,0.415209225,0.957948035,0.843773103,0.194524879,1,0.682291048,0.270000011,0.333999991,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
client_0_brightness,client_0,brightness,3,1500,2000,500,C3_C5,"client_2,client_4",2,0.041527569,0.352150604,3.875204027,0.17428197,0,3.676763535,0.958472431,0.352150604,3.875204027,0.17428197,0,0.3366555,0.954048565,0.847434094,0.188739213,1,0.665375474,0.321999997,0.316000015,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
client_0_brightness,client_0,brightness,3,1500,2000,500,C4,client_3,1,0.054704547,0.352872586,3.869150698,0.167316929,0,3.839336634,0.945295453,0.352872586,3.869150698,0.167316929,0,0.122615843,0.954419558,0.829701327,0.176464068,1,0.616640159,0.206,0.328000009,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
client_0_brightness,client_0,brightness,3,1500,2000,500,C4_C5,"client_3,client_4",2,0.040371239,0.255658869,3.870281518,0.175335065,0,3.673021555,0.959628761,0.255658869,3.870281518,0.175335065,0,0.355438298,0.904465971,0.833013977,0.190595181,1,0.656702685,0.294,0.324000001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
client_0_brightness,client_0,brightness,3,1500,2000,500,C5,client_4,1,0.052863538,0.184984203,3.869762421,0.154907271,0,3.341379404,0.947136462,0.184984203,3.869762421,0.154907271,0,0.152520187,0.868149563,0.831493322,0.154593364,1,0.601351287,0.414000005,0.268000007,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
client_0_brightness,client_0,brightness,4,2000,2500,500,C1,client_0,1,0.000876248,-0.221337914,3.871441722,0.22273843,0,3.811644077,0.999123752,-0.221337914,3.871441722,0.22273843,0,0.996973452,0.659359612,0.836412707,0.27413858,1,0.75337687,0.239999995,0.159999996,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
client_0_brightness,client_0,brightness,4,2000,2500,500,C1_C2,"client_0,client_1",2,0.01017946,-0.304332927,3.870530546,0.197783813,0,3.653407574,0.98982054,-0.304332927,3.870530546,0.197783813,0,0.845857135,0.616712353,0.833743486,0.230158717,1,0.705294338,0.282000005,0.208000004,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
client_0_brightness,client_0,brightness,4,2000,2500,500,C1_C2_C3,"client_0,client_1,client_2",3,0.020040274,0.115399197,3.874582171,0.185168311,0,3.878953695,0.979959726,0.115399197,3.874582171,0.185168311,0,0.685683442,0.832393079,0.845612416,0.207925234,1,0.714322834,0.230000004,0.241999999,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
client_0_brightness,client_0,brightness,4,2000,2500,500,C1_C2_C3_C4,"client_0,client_1,client_2,client_3",4,0.021433711,0.17808193,3.873616278,0.185324088,0,3.907610416,0.978566289,0.17808193,3.873616278,0.185324088,0,0.663049203,0.864602807,0.842782905,0.208199774,1,0.715726938,0.217999995,0.272000015,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
client_0_brightness,client_0,brightness,4,2000,2500,500,C1_C2_C3_C4_C5,"client_0,client_1,client_2,client_3,client_4",5,0.022359133,0.179532975,3.873151898,0.187980279,0,3.813918591,0.977640867,0.179532975,3.873151898,0.187980279,0,0.648017156,0.865348431,0.841422539,0.21288103,1,0.713533831,0.241999999,0.277999997,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
client_0_brightness,client_0,brightness,4,2000,2500,500,C1_C2_C3_C5,"client_0,client_1,client_2,client_4",4,0.021480143,0.135368824,3.873746574,0.188616604,0,3.760867119,0.978519857,0.135368824,3.873746574,0.188616604,0,0.662294987,0.842654538,0.843164596,0.214002484,1,0.712423321,0.268000007,0.257999986,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
client_0_brightness,client_0,brightness,4,2000,2500,500,C1_C2_C4,"client_0,client_1,client_3",3,0.016578496,-0.046009675,3.870535493,0.193056673,0,3.83375144,0.983421504,-0.046009675,3.870535493,0.193056673,0,0.741914684,0.749452602,0.833757978,0.221827634,1,0.70939058,0.225999996,0.25999999,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
client_0_brightness,client_0,brightness,4,2000,2500,500,C1_C2_C4_C5,"client_0,client_1,client_3,client_4",4,0.019678414,0.024604604,3.870788276,0.192366302,0,3.720944166,0.980321586,0.024604604,3.870788276,0.192366302,0,0.691561296,0.78573798,0.834498488,0.220610929,1,0.706481739,0.257999986,0.25999999,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
client_0_brightness,client_0,brightness,4,2000,2500,500,C1_C2_C5,"client_0,client_1,client_4",3,0.017136037,-0.100385465,3.870847464,0.194116786,0,3.550360441,0.982863963,-0.100385465,3.870847464,0.194116786,0,0.732858277,0.721511424,0.834671873,0.223695971,1,0.702547509,0.317999989,0.230000004,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
